State,Year,Quarter,Entity_type,Registered_users,District&pincode.1,id
Andaman & Nicobar Island,2021,Q3,pincode,1771,744205,35
Andaman & Nicobar Island,2021,Q4,district,59807,South Andaman,35
Andaman & Nicobar Island,2021,Q4,district,10002,North And Middle Andaman,35
Andaman & Nicobar Island,2021,Q4,district,1971,Nicobars,35
Andaman & Nicobar Island,2021,Q4,pincode,14127,744103,35
Andaman & Nicobar Island,2021,Q4,pincode,12300,744105,35
Andaman & Nicobar Island,2021,Q4,pincode,11623,744101,35
Andaman & Nicobar Island,2021,Q4,pincode,7813,744102,35
Andaman & Nicobar Island,2021,Q4,pincode,3815,744202,35
Andaman & Nicobar Island,2021,Q4,pincode,3247,744107,35
Andaman & Nicobar Island,2021,Q4,pincode,2962,744104,35
Andaman & Nicobar Island,2021,Q4,pincode,2411,744112,35
Andaman & Nicobar Island,2021,Q4,pincode,2200,744211,35
Andaman & Nicobar Island,2021,Q4,pincode,1902,744205,35
Andaman & Nicobar Island,2022,Q1,district,63487,South Andaman,35
Andaman & Nicobar Island,2022,Q1,district,10720,North And Middle Andaman,35
Andaman & Nicobar Island,2022,Q1,district,2081,Nicobars,35
Andaman & Nicobar Island,2022,Q1,pincode,15011,744103,35
Andaman & Nicobar Island,2022,Q1,pincode,13070,744105,35
Andaman & Nicobar Island,2022,Q1,pincode,12300,744101,35
Andaman & Nicobar Island,2022,Q1,pincode,8271,744102,35
Andaman & Nicobar Island,2022,Q1,pincode,4107,744202,35
Andaman & Nicobar Island,2022,Q1,pincode,3455,744107,35
Andaman & Nicobar Island,2022,Q1,pincode,3146,744104,35
Andaman & Nicobar Island,2022,Q1,pincode,2552,744112,35
Andaman & Nicobar Island,2022,Q1,pincode,2344,744211,35
Andaman & Nicobar Island,2022,Q1,pincode,2034,744205,35
Andaman & Nicobar Island,2022,Q2,district,66959,South Andaman,35
Andaman & Nicobar Island,2022,Q2,district,11379,North And Middle Andaman,35
Andaman & Nicobar Island,2022,Q2,district,2192,Nicobars,35
Andaman & Nicobar Island,2022,Q2,pincode,15799,744103,35
Andaman & Nicobar Island,2022,Q2,pincode,13791,744105,35
Andaman & Nicobar Island,2022,Q2,pincode,12947,744101,35
Andaman & Nicobar Island,2022,Q2,pincode,8709,744102,35
Andaman & Nicobar Island,2022,Q2,pincode,4361,744202,35
Andaman & Nicobar Island,2022,Q2,pincode,3674,744107,35
Andaman & Nicobar Island,2022,Q2,pincode,3319,744104,35
Andaman & Nicobar Island,2022,Q2,pincode,2700,744112,35
Andaman & Nicobar Island,2022,Q2,pincode,2471,744211,35
Andaman & Nicobar Island,2022,Q2,pincode,2162,744205,35
Andaman & Nicobar Island,2022,Q3,district,70445,South Andaman,35
Andaman & Nicobar Island,2022,Q3,district,11897,North And Middle Andaman,35
Andaman & Nicobar Island,2022,Q3,district,2300,Nicobars,35
Andaman & Nicobar Island,2022,Q3,pincode,16666,744103,35
Andaman & Nicobar Island,2022,Q3,pincode,14503,744105,35
Andaman & Nicobar Island,2022,Q3,pincode,13649,744101,35
Andaman & Nicobar Island,2022,Q3,pincode,9148,744102,35
Andaman & Nicobar Island,2022,Q3,pincode,4572,744202,35
Andaman & Nicobar Island,2022,Q3,pincode,3868,744107,35
Andaman & Nicobar Island,2022,Q3,pincode,3493,744104,35
Andaman & Nicobar Island,2022,Q3,pincode,2837,744112,35
Andaman & Nicobar Island,2022,Q3,pincode,2577,744211,35
Andaman & Nicobar Island,2022,Q3,pincode,2268,744205,35
Andaman & Nicobar Island,2022,Q4,district,73692,South Andaman,35
Andaman & Nicobar Island,2022,Q4,district,12361,North And Middle Andaman,35
Andaman & Nicobar Island,2022,Q4,district,2389,Nicobars,35
Andaman & Nicobar Island,2022,Q4,pincode,17406,744103,35
Andaman & Nicobar Island,2022,Q4,pincode,15185,744105,35
Andaman & Nicobar Island,2022,Q4,pincode,14337,744101,35
Andaman & Nicobar Island,2022,Q4,pincode,9591,744102,35
Andaman & Nicobar Island,2022,Q4,pincode,4760,744202,35
Andaman & Nicobar Island,2022,Q4,pincode,4051,744107,35
Andaman & Nicobar Island,2022,Q4,pincode,3647,744104,35
Andaman & Nicobar Island,2022,Q4,pincode,2975,744112,35
Andaman & Nicobar Island,2022,Q4,pincode,2679,744211,35
Andaman & Nicobar Island,2022,Q4,pincode,2358,744205,35
Andhra Pradesh,2018,Q1,district,497187,Visakhapatnam,28
Andhra Pradesh,2018,Q1,district,350356,East Godavari,28
Andhra Pradesh,2018,Q1,district,323673,Krishna,28
Andhra Pradesh,2018,Q1,district,317065,Guntur,28
Andhra Pradesh,2018,Q1,district,309541,Chittoor,28
Andhra Pradesh,2018,Q1,district,241192,Anantapur,28
Andhra Pradesh,2018,Q1,district,240133,Kurnool,28
Andhra Pradesh,2018,Q1,district,213335,West Godavari,28
Andhra Pradesh,2018,Q1,district,194475,Spsr Nellore,28
Andhra Pradesh,2018,Q1,district,189949,Prakasam,28
Andhra Pradesh,2018,Q1,pincode,39884,517501,28
Andhra Pradesh,2018,Q1,pincode,34201,530016,28
Andhra Pradesh,2018,Q1,pincode,34111,517507,28
Andhra Pradesh,2018,Q1,pincode,31964,515001,28
Andhra Pradesh,2018,Q1,pincode,29078,516001,28
Andhra Pradesh,2018,Q1,pincode,29043,518002,28
Andhra Pradesh,2018,Q1,pincode,26889,530026,28
Andhra Pradesh,2018,Q1,pincode,26187,516360,28
Andhra Pradesh,2018,Q1,pincode,24397,520010,28
Andhra Pradesh,2018,Q1,pincode,23439,524002,28
Andhra Pradesh,2018,Q2,district,636052,Visakhapatnam,28
Andhra Pradesh,2018,Q2,district,454398,East Godavari,28
Andhra Pradesh,2018,Q2,district,431965,Krishna,28
Andhra Pradesh,2018,Q2,district,420326,Guntur,28
Andhra Pradesh,2018,Q2,district,414306,Chittoor,28
Andhra Pradesh,2018,Q2,district,326383,Anantapur,28
Andhra Pradesh,2018,Q2,district,319313,Kurnool,28
Andhra Pradesh,2018,Q2,district,282393,West Godavari,28
Andhra Pradesh,2018,Q2,district,261049,Spsr Nellore,28
Andhra Pradesh,2018,Q2,district,253458,Prakasam,28
Andhra Pradesh,2018,Q2,pincode,53468,517501,28
Andhra Pradesh,2018,Q2,pincode,45241,517507,28
Andhra Pradesh,2018,Q2,pincode,43386,530016,28
Andhra Pradesh,2018,Q2,pincode,42466,515001,28
Andhra Pradesh,2018,Q2,pincode,38402,516001,28
Andhra Pradesh,2018,Q2,pincode,37593,518002,28
Andhra Pradesh,2018,Q2,pincode,34544,516360,28
Andhra Pradesh,2018,Q2,pincode,34126,530026,28
Andhra Pradesh,2018,Q2,pincode,31871,520010,28
Andhra Pradesh,2018,Q2,pincode,31134,524002,28
Andhra Pradesh,2018,Q3,district,769096,Visakhapatnam,28
Andhra Pradesh,2018,Q3,district,558982,East Godavari,28
Andhra Pradesh,2018,Q3,district,537086,Krishna,28
Andhra Pradesh,2018,Q3,district,518931,Guntur,28
Andhra Pradesh,2018,Q3,district,515727,Chittoor,28
Andhra Pradesh,2018,Q3,district,405855,Anantapur,28
Andhra Pradesh,2018,Q3,district,394311,Kurnool,28
Andhra Pradesh,2018,Q3,district,349782,West Godavari,28
Andhra Pradesh,2018,Q3,district,322446,Spsr Nellore,28
