,State,Year,Quater,District,Transaction_count,Transaction_amount,id
107,Andhra Pradesh,2018,Q4,West Godavari District,1688482,3237504255.4632454,28
108,Andhra Pradesh,2018,Q4,Kurnool District,2508530,3626544852.406924,28
109,Andhra Pradesh,2018,Q4,Chittoor District,3166201,4979093890.223491,28
110,Andhra Pradesh,2018,Q4,Guntur District,2546620,4730251217.696959,28
111,Andhra Pradesh,2018,Q4,Krishna District,2839161,5416251838.130407,28
112,Andhra Pradesh,2019,Q1,East Godavari District,5440146,7382264724.59952,28
113,Andhra Pradesh,2019,Q1,Srikakulam District,2526855,3407912878.4152584,28
114,Andhra Pradesh,2019,Q1,Spsr Nellore District,3333584,5161932216.216368,28
115,Andhra Pradesh,2019,Q1,Vizianagaram District,2798241,3364576948.299301,28
116,Andhra Pradesh,2019,Q1,Visakhapatnam District,9690866,13459857440.552685,28
117,Andhra Pradesh,2019,Q1,Prakasam District,2931081,4807527779.215151,28
118,Andhra Pradesh,2019,Q1,Anantapur District,3891336,6044730653.191345,28
119,Andhra Pradesh,2019,Q1,Ysr District,2852197,4915811593.896078,28
120,Andhra Pradesh,2019,Q1,West Godavari District,2829437,4623764455.47309,28
121,Andhra Pradesh,2019,Q1,Kurnool District,4193432,5541564892.509682,28
122,Andhra Pradesh,2019,Q1,Chittoor District,6486813,8223371732.233585,28
123,Andhra Pradesh,2019,Q1,Guntur District,4846553,7765934169.404485,28
124,Andhra Pradesh,2019,Q1,Krishna District,5443981,9061346433.07268,28
125,Andhra Pradesh,2019,Q2,East Godavari District,4699261,9116404622.47651,28
126,Andhra Pradesh,2019,Q2,Srikakulam District,2019203,4066576539.936839,28
127,Andhra Pradesh,2019,Q2,Spsr Nellore District,3141891,6880873007.48206,28
128,Andhra Pradesh,2019,Q2,Vizianagaram District,2272320,4443041665.039663,28
129,Andhra Pradesh,2019,Q2,Visakhapatnam District,11705738,20797479804.02908,28
130,Andhra Pradesh,2019,Q2,Prakasam District,2670529,6262396448.455349,28
131,Andhra Pradesh,2019,Q2,Anantapur District,3578836,7830782361.377665,28
132,Andhra Pradesh,2019,Q2,Ysr District,2606284,6376856828.130632,28
133,Andhra Pradesh,2019,Q2,West Godavari District,2402074,5676818258.955046,28
134,Andhra Pradesh,2019,Q2,Kurnool District,3895824,7358285187.018034,28
135,Andhra Pradesh,2019,Q2,Chittoor District,5983308,10982727976.224323,28
136,Andhra Pradesh,2019,Q2,Guntur District,5005275,10405246943.481497,28
137,Andhra Pradesh,2019,Q2,Krishna District,6428472,13437029115.620754,28
138,Andhra Pradesh,2019,Q3,East Godavari District,6537303,11387726470.57774,28
139,Andhra Pradesh,2019,Q3,Srikakulam District,2556296,4610131289.524039,28
140,Andhra Pradesh,2019,Q3,Spsr Nellore District,4150195,8256600118.735449,28
141,Andhra Pradesh,2019,Q3,Vizianagaram District,2861581,4922069039.19216,28
142,Andhra Pradesh,2019,Q3,Visakhapatnam District,16694947,26944837120.046288,28
143,Andhra Pradesh,2019,Q3,Prakasam District,3430750,7354502261.150911,28
144,Andhra Pradesh,2019,Q3,Anantapur District,4889720,9554081289.488276,28
145,Andhra Pradesh,2019,Q3,Ysr District,3296586,7447544274.211781,28
146,Andhra Pradesh,2019,Q3,West Godavari District,3179541,6627629029.01413,28
147,Andhra Pradesh,2019,Q3,Kurnool District,5139134,9025632779.412457,28
148,Andhra Pradesh,2019,Q3,Chittoor District,8201783,13837455758.755266,28
149,Andhra Pradesh,2019,Q3,Guntur District,6942304,13075661264.188034,28
150,Andhra Pradesh,2019,Q3,Krishna District,8408474,16404073560.500784,28
151,Andhra Pradesh,2019,Q4,East Godavari District,9285739,16816774065.301315,28
152,Andhra Pradesh,2019,Q4,Srikakulam District,3712555,6832369301.879345,28
153,Andhra Pradesh,2019,Q4,Spsr Nellore District,5877804,11786014089.194029,28
154,Andhra Pradesh,2019,Q4,Vizianagaram District,3998234,7175851807.068796,28
155,Andhra Pradesh,2019,Q4,Visakhapatnam District,23594874,39133296330.044624,28
156,Andhra Pradesh,2019,Q4,Prakasam District,4865473,10604077824.801037,28
157,Andhra Pradesh,2019,Q4,Anantapur District,6764112,13887248889.064066,28
158,Andhra Pradesh,2019,Q4,Ysr District,4793157,10865073855.730783,28
159,Andhra Pradesh,2019,Q4,West Godavari District,4596479,9710614747.20177,28
160,Andhra Pradesh,2019,Q4,Kurnool District,7001958,13233105728.54823,28
161,Andhra Pradesh,2019,Q4,Chittoor District,11246986,19298476027.875484,28
162,Andhra Pradesh,2019,Q4,Guntur District,9761330,18565626418.035915,28
163,Andhra Pradesh,2019,Q4,Krishna District,11719402,23039786404.04664,28
164,Andhra Pradesh,2020,Q1,East Godavari District,11346242,21854701379.428688,28
165,Andhra Pradesh,2020,Q1,Srikakulam District,4835092,9777575594.177538,28
166,Andhra Pradesh,2020,Q1,Spsr Nellore District,7430247,15387829694.44686,28
167,Andhra Pradesh,2020,Q1,Vizianagaram District,5042066,9879174240.920494,28
168,Andhra Pradesh,2020,Q1,Visakhapatnam District,27115031,48809747614.678894,28
169,Andhra Pradesh,2020,Q1,Prakasam District,6318396,14169104764.526735,28
170,Andhra Pradesh,2020,Q1,Anantapur District,8466129,17864325752.82528,28
171,Andhra Pradesh,2020,Q1,Ysr District,6031255,14059924636.819912,28
172,Andhra Pradesh,2020,Q1,West Godavari District,5919670,12995834340.716236,28
173,Andhra Pradesh,2020,Q1,Kurnool District,8246869,17022710311.813046,28
174,Andhra Pradesh,2020,Q1,Chittoor District,13257740,23441848567.344196,28
175,Andhra Pradesh,2020,Q1,Guntur District,11493331,22992734620.64621,28
176,Andhra Pradesh,2020,Q1,Krishna District,12175289,24481702770.71471,28
177,Andhra Pradesh,2020,Q2,East Godavari District,13130334,26319906327.32029,28
178,Andhra Pradesh,2020,Q2,Srikakulam District,6425515,12153650076.875832,28
179,Andhra Pradesh,2020,Q2,Spsr Nellore District,9454274,20665376460.772232,28
180,Andhra Pradesh,2020,Q2,Vizianagaram District,6690313,12819344389.545382,28
181,Andhra Pradesh,2020,Q2,Visakhapatnam District,25300401,48293889917.41437,28
182,Andhra Pradesh,2020,Q2,Prakasam District,8844580,19846026726.90433,28
183,Andhra Pradesh,2020,Q2,Anantapur District,10473739,22094006659.412502,28
184,Andhra Pradesh,2020,Q2,Ysr District,8033609,19597207268.132023,28
185,Andhra Pradesh,2020,Q2,West Godavari District,7273096,16585866855.159784,28
186,Andhra Pradesh,2020,Q2,Kurnool District,9821381,22419372061.80517,28
187,Andhra Pradesh,2020,Q2,Chittoor District,14848197,27361300300.01902,28
188,Andhra Pradesh,2020,Q2,Guntur District,12308707,27463593607.839108,28
189,Andhra Pradesh,2020,Q2,Krishna District,12313709,26964149095.36629,28
190,Andhra Pradesh,2020,Q3,East Godavari District,17972431,39300043804.75851,28
191,Andhra Pradesh,2020,Q3,Srikakulam District,8286289,18029574581.337425,28
192,Andhra Pradesh,2020,Q3,Spsr Nellore District,16468209,39128324534.03022,28
193,Andhra Pradesh,2020,Q3,Vizianagaram District,8236703,17567816576.501263,28
