,State,Year,Quater,District,Registered_user,App_opening,id
139,Andhra Pradesh,2019,Q3,Srikakulam District,437939,11813195,28
140,Andhra Pradesh,2019,Q3,Visakhapatnam District,1460464,54836001,28
141,Andhra Pradesh,2019,Q3,Prakasam District,598568,16267041,28
142,Andhra Pradesh,2019,Q3,Anantapur District,773656,22845084,28
143,Andhra Pradesh,2019,Q3,Kurnool District,755024,22827473,28
144,Andhra Pradesh,2019,Q3,Guntur District,1026418,28477132,28
145,Andhra Pradesh,2019,Q3,Krishna District,1066546,30077671,28
146,Andhra Pradesh,2019,Q3,Spsr Nellore District,619592,17768733,28
147,Andhra Pradesh,2019,Q3,Vizianagaram District,394375,13065845,28
148,Andhra Pradesh,2019,Q3,Ysr District,574109,15833900,28
149,Andhra Pradesh,2019,Q3,West Godavari District,662102,14227407,28
150,Andhra Pradesh,2019,Q3,Chittoor District,1032733,34638738,28
151,Andhra Pradesh,2019,Q4,East Godavari District,1195228,38299189,28
152,Andhra Pradesh,2019,Q4,Srikakulam District,496266,16353822,28
153,Andhra Pradesh,2019,Q4,Visakhapatnam District,1620235,70749983,28
154,Andhra Pradesh,2019,Q4,Prakasam District,673522,21639748,28
155,Andhra Pradesh,2019,Q4,Anantapur District,873033,30278539,28
156,Andhra Pradesh,2019,Q4,Kurnool District,846885,29676997,28
157,Andhra Pradesh,2019,Q4,Guntur District,1158708,37846179,28
158,Andhra Pradesh,2019,Q4,Krishna District,1199971,39407473,28
159,Andhra Pradesh,2019,Q4,Spsr Nellore District,697154,23608360,28
160,Andhra Pradesh,2019,Q4,Vizianagaram District,443810,17515311,28
161,Andhra Pradesh,2019,Q4,Ysr District,646642,21543798,28
162,Andhra Pradesh,2019,Q4,West Godavari District,750078,19393528,28
163,Andhra Pradesh,2019,Q4,Chittoor District,1156351,44888591,28
164,Andhra Pradesh,2020,Q1,East Godavari District,1329664,46142746,28
165,Andhra Pradesh,2020,Q1,Srikakulam District,552007,20975989,28
166,Andhra Pradesh,2020,Q1,Visakhapatnam District,1763581,77558624,28
167,Andhra Pradesh,2020,Q1,Prakasam District,748655,26870693,28
168,Andhra Pradesh,2020,Q1,Anantapur District,971850,36900103,28
169,Andhra Pradesh,2020,Q1,Kurnool District,936293,34198350,28
170,Andhra Pradesh,2020,Q1,Guntur District,1289678,45282758,28
171,Andhra Pradesh,2020,Q1,Krishna District,1331602,46079408,28
172,Andhra Pradesh,2020,Q1,Spsr Nellore District,775440,28879364,28
173,Andhra Pradesh,2020,Q1,Vizianagaram District,490683,21562104,28
174,Andhra Pradesh,2020,Q1,Ysr District,717865,26166193,28
175,Andhra Pradesh,2020,Q1,West Godavari District,843835,24542868,28
176,Andhra Pradesh,2020,Q1,Chittoor District,1270907,51354573,28
177,Andhra Pradesh,2020,Q2,East Godavari District,1459116,45884498,28
178,Andhra Pradesh,2020,Q2,Srikakulam District,608002,23808009,28
179,Andhra Pradesh,2020,Q2,Visakhapatnam District,1904719,69684456,28
180,Andhra Pradesh,2020,Q2,Prakasam District,830709,32255276,28
181,Andhra Pradesh,2020,Q2,Anantapur District,1076953,39704703,28
